nr_eksperymentu,algorytm,nr_iteracji,HV,liczba_rozwiazan_pareto
0,ACO,0,1.4097734693877555,1
0,ACO,1,0.0200975766298223,3
0,ACO,2,0.01690273343457168,2
0,ACO,3,0.886760098522168,2
0,ACO,4,0.03229418003135924,2
0,ACO,5,0.8533132301196344,2
0,ACO,6,0.84566005160685,2
0,ACO,7,0.8455487785261891,1
0,ACO,8,1.4097734693877555,1
0,ACO,9,0.8455487785261891,1
0,GEN,0,0.8849683020006036,1
0,GEN,1,0.8849683020006036,1
0,GEN,2,0.11033815079570856,4
0,GEN,3,1.4641000000000006,1
0,GEN,4,0.9435003217050371,3
0,GEN,5,0.8849683020006036,1
0,GEN,6,1.4641000000000006,1
0,GEN,7,0.8849683020006036,1
0,GEN,8,0.89870540866593,2
0,GEN,9,0.48487082484536476,1
0,PSO,0,0.9572374283703634,3
0,PSO,1,1.2328236352669153,2
0,PSO,2,0.862869478234644,3
0,PSO,3,1.382610204081633,1
0,PSO,4,0.8158814416406959,3
0,PSO,5,1.382610204081633,1
0,PSO,6,0.8688421333065249,4
0,PSO,7,0.9034835327234346,2
0,PSO,8,0.8551050266411987,3
0,PSO,9,1.382610204081633,1
1,ACO,0,0.7714313372905031,3
1,ACO,1,0.9377484636871511,1
1,ACO,2,0.9753322625698327,2
1,ACO,3,1.104033952126009,2
1,ACO,4,0.7625051850558662,2
1,ACO,5,0.9615641934357545,2
1,ACO,6,0.9377484636871511,1
1,ACO,7,0.5344439847144633,1
1,ACO,8,0.9377484636871511,1
1,ACO,9,0.9377484636871511,1
1,GEN,0,0.9593182960893857,1
1,GEN,1,0.8644999476256986,2
1,GEN,2,1.4641000000000006,1
1,GEN,3,0.47885395716946033,3
1,GEN,4,0.7732696636405962,2
1,GEN,5,0.5405718342644324,2
1,GEN,6,1.3971782122905032,1
1,GEN,7,1.4641000000000006,1
1,GEN,8,1.3971782122905032,1
1,GEN,9,1.4641000000000006,1
1,PSO,0,0.9593182960893857,1
1,PSO,1,0.9593182960893857,1
1,PSO,2,0.9644157821229055,2
1,PSO,3,0.9593182960893857,1
1,PSO,4,0.9593182960893857,1
1,PSO,5,1.0789858647579147,2
1,PSO,6,0.9593182960893857,1
1,PSO,7,1.1105702649751712,3
1,PSO,8,0.9377484636871511,1
1,PSO,9,1.0789858647579147,2
2,ACO,0,0.36146235687962436,1
2,ACO,1,0.0,0
2,ACO,2,0.0,0
2,ACO,3,0.0,0
2,ACO,4,0.0,0
2,ACO,5,0.0,0
2,ACO,6,0.009985222381635597,1
2,ACO,7,0.0,0
2,ACO,8,0.01010789096126257,1
2,ACO,9,0.0,0
2,GEN,0,0.0,0
2,GEN,1,0.0010963414634146372,3
2,GEN,2,1.3658598995695843,2
2,GEN,3,1.3658598995695843,2
2,GEN,4,0.30302955664331743,1
2,GEN,5,1.3219987804878053,1
2,GEN,6,0.024666690578670523,2
2,GEN,7,1.3753666666666673,1
2,GEN,8,0.5096031057473207,1
2,GEN,9,0.012499617407938805,3
2,PSO,0,0.0,0
2,PSO,1,0.0,0
2,PSO,2,0.0,0
2,PSO,3,0.0,0
2,PSO,4,0.0,0
2,PSO,5,0.0,0
2,PSO,6,0.0,0
2,PSO,7,0.0,0
2,PSO,8,0.0,0
2,PSO,9,0.060829531324725086,1
3,ACO,0,0.0009260869565217417,1
3,ACO,1,0.30791063674384267,1
3,ACO,2,0.5033907815368478,1
3,ACO,3,0.16664293813588474,1
3,ACO,4,0.307074481711735,2
3,ACO,5,0.2759224572166001,1
3,ACO,6,0.0,0
3,ACO,7,0.7301297626870863,1
3,ACO,8,0.0,0
3,ACO,9,0.0,0
3,GEN,0,1.4011924261874202,1
3,GEN,1,1.3773626230209675,1
3,GEN,2,1.4011924261874202,1
3,GEN,3,0.9849478512261074,1
3,GEN,4,0.003220070684356363,2
3,GEN,5,0.04533749715684213,2
3,GEN,6,0.48194832987853414,3
3,GEN,7,1.1749558802756963,2
3,GEN,8,0.48927733270978935,2
3,GEN,9,1.4559521470868364,2
3,PSO,0,0.4967902253681505,2
3,PSO,1,0.19811014966529933,1
3,PSO,2,0.0,0
3,PSO,3,0.0,0
3,PSO,4,0.0,0
3,PSO,5,0.7318435490572524,1
3,PSO,6,0.0,0
3,PSO,7,1.008363600297109,1
3,PSO,8,0.0,0
3,PSO,9,0.0,0
4,ACO,0,0.0,0
4,ACO,1,0.0005444444444444459,1
4,ACO,2,1.4641000000000006,1
4,ACO,3,1.1212821571081482,1
4,ACO,4,1.4641000000000006,1
4,ACO,5,0.02430185573020557,1
4,ACO,6,0.15697316200416786,1
4,ACO,7,0.9281110593852427,1
4,ACO,8,1.057562062472393,2
4,ACO,9,1.4641000000000006,1
4,GEN,0,0.6359920523637891,3
4,GEN,1,1.419360504201681,1
4,GEN,2,1.4104126050420172,1
4,GEN,3,1.1212821571081482,1
4,GEN,4,1.083773576811023,1
4,GEN,5,0.8491443895895372,1
4,GEN,6,1.1423480900341765,1
4,GEN,7,1.4247156862745103,2
4,GEN,8,1.1423480900341765,1
4,GEN,9,1.4104126050420172,1
4,PSO,0,1.4641000000000006,1
4,PSO,1,0.0,0
4,PSO,2,1.4641000000000006,1
4,PSO,3,0.0,0
4,PSO,4,1.4641000000000006,1
4,PSO,5,1.4641000000000006,1
4,PSO,6,0.8653729912518138,4
4,PSO,7,0.8932323102165515,1
4,PSO,8,0.0,0
4,PSO,9,0.0,0
