stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
8794,2469011-39701,"Ochojec Spółdzielczości",50.2088714100,18.9893579200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-39701/"
672,2478011-12301,"Zabrze Przystankowa",50.3259704500,18.7857353400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-12301/"
2333,2401042-01901,"Podsączów",50.4335772000,19.0424334700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401042-01901/"
2116,2471011-03402,"Osiedle Wyzwolenia Akacjowa",50.3790278100,18.9358532200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2471011-03402/"
5636,2469011-37102,"Wesoła Kopalnia",50.1816866400,19.0952729900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-37102/"
3673,2466011-04802,"Gliwice Opolska",50.3016348300,18.6848521000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-04802/"
8054,2469011-06904,"Józefowiec Ściegiennego",50.2780135300,19.0072965400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-06904/"
11745,2414011-02831,"Bieruń Ściernie",50.0833484100,19.1343642400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2414011-02831/"
1680,2474011-02001,"Michałkowice Tarnogórska nż",50.3299429900,19.0098929100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2474011-02001/"
12296,2463011-01602,"Chorzów Batory Piekarska",50.2763656600,18.9497899800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-01602/"
722,2405032-01002,"Przyszowice Przejazd Kolejowy nż",50.2363948200,18.7366938300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2405032-01002/"
2570,2472011-08501,"Ruda Bujoczka",50.3141265000,18.8452005300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-08501/"
29,2466011-06501,"Gliwice Świętojańska",50.3101500600,18.6698672100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-06501/"
1593,2469011-14703,"Ligota Poleska",50.2231691500,18.9691769800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-14703/"
1092,2478011-09902,"Zabrze Grunwaldzka",50.3115455300,18.7605941600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-09902/"
11453,2475011-12001t,"Sosnowiec Aleja Zwycięstwa",50.2787649900,19.1299700500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-12001t/"
4063,2401011-05501,"Grodziec Słowackiego",50.3508618400,19.0809714500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-05501/"
903,GR10301,"granica GIER - GLIW (Bojków)",50.2352642236,18.7204977257,"https://rj.transportgzm.pl/v2/rozklady/przystanek/GR10301/"
4701,2466011-21202t,"Maciejów Knurowska",50.3053599800,18.7359535400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-21202t/"
1663,2465011-08501,"Marianki",50.3658629600,19.1877770200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-08501/"
5047,2463011-01903t,"Chorzów Batory Zajezdnia",50.2747538900,18.9551222100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-01903t/"
892,GR09401,"granica DĄBR - SŁAW (Strzemieszycka)",50.3060721934,19.3448249999,"https://rj.transportgzm.pl/v2/rozklady/przystanek/GR09401/"
5554,2401011-12201,"Będzin Johnson Electric",50.3130597100,19.1514885700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-12201/"
4026,2401052-04102,"Przeczyce Targowa",50.4371485100,19.1579830400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401052-04102/"
814,2465011-04401,"Gołonóg Wczasowa",50.3439780000,19.2242530000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-04401/"
12163,2477011-05502,"Jaroszowice Kościelna",50.1197633200,19.0520036000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-05502/"
4475,2469011-29502t,"Zawodzie Centrum Przesiadkowe",50.2603385400,19.0633462900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-29502t/"
5385,2475011-10203,"Porąbka Wiejska",50.2874472900,19.2220187100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-10203/"
1737,2478011-05002,"Mikulczyce Nowodworska",50.3340909600,18.7701963000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-05002/"
11437,2475011-05502t,"Modrzejów Pastewna",50.2408990800,19.1478121000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-05502t/"
3448,2414031-04201,"Zamoście Posesja 30",50.1395330000,19.0910840000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2414031-04201/"
