stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
8794,"01",17,1,2,"","Katowice","Radockiego",0
672,"1",49,1,2,"","Zabrze","Mikulczycka",0
2333,"1",2,1,2,"","Siemonia","Wolności",0
2116,"2",31,1,2_3,"","Piekary Śląskie","Akacjowa",0
5636,"2",17,1,2,"","Katowice","Beskidzka",0
3673,"2",14,1,2_3,"","Gliwice","Opolska",0
8054,"4",17,1,2,"","Katowice","Krzyżowa",0
11745,"31",1,1,2_7,"","Bieruń","Turystyczna",0
1680,"1",41,1,1_3,"","Siemianowice Śląskie","Tarnogórska",0
12296,"02",8,1,2_3,"","Chorzów","Armii Krajowej",0
722,"2",13,1,1_3,"","Przyszowice","Gierałtowicka",0
2570,"1",38,1,2,"","Ruda Śląska","Wiktora Bujoczka",0
29,"1",14,1,2_3,"","Gliwice","Toszecka",0
1593,"3",17,1,2_3,"","Katowice","Poleska",0
1092,"2",49,1,2,"","Zabrze","Grunwaldzka",0
11453,"01t",43,2,2_3,"","Sosnowiec","Małachowskiego",0
4063,"1",6,1,2,"","Będzin","Julisza Słowackiego",0
903,"1",,,6,"","<Żadna>","",0
4701,"2t",14,2,2_3,"","Gliwice","Chorzowska",0
1663,"1",12,1,2_3,"","Dąbrowa Górnicza","Marianki",0
5047,"3t/wys",8,2,2,"","Chorzów","Armii Krajowej",0
892,"1",,,6,"","<Żadna>","",0
5554,"1",6,1,2_3,"","Będzin","Józefa Cieszkowskiego",0
4026,"2",23,1,2,"","Mierzęcice","Targowa",0
814,"1",12,1,2,"","Dąbrowa Górnicza","Parkowa",0
12163,"02",46,1,2,"","Tychy","Kościelna",0
4475,"2t",17,2,2_3_4,"","Katowice","1 Maja",0
5385,"3",43,1,2,"","Sosnowiec","Wiejska",0
1737,"2",49,1,2_3,"","Zabrze","11 Listopada",0
11437,"02t",43,2,2_3,"","Sosnowiec","Pastewna",0
3448,"1",21,1,2,"","Lędziny","Zakole",0
6802,"1",,,6,"","<Żadna>","",0
4912,"1",17,1,2_3,"","Katowice","Morawa",0
3192,"1",15,1,2,"","Imielin","Nowozachęty",0
5643,"2",34,1,2,"","Gródków","Zwycięstwa",0
951,"2",,,6,"","<Żadna>","",0
5628,"1",5,1,2,"","Bytom","Armii Krajowej",0
3559,"15/wys",5,1,2_4,"","Bytom","Plac Wolskiego",0
1917,"2",15,1,2_3,"","Imielin","Imielińska",0
8560,"1",8,1,2,"","Chorzów","Hajducka",0
3846,"2",30,1,2_3,"","Ożarowice","Wolności",0
12080,"01",46,1,2_3,"","Tychy","Mikołowska",0
3618,"1",14,1,2_3,"","Gliwice","Juliusza Słowackiego",0
4982,"1",,,6,"","<Żadna>","",0
3140,"1",12,1,2,"","Dąbrowa Górnicza","Idzikowskiego",0
12135,"02",46,1,2,"","Tychy","Armii Krajowej",0
1929,"1",17,1,2_3,"","Katowice","Gen. Waltera Jankego",0
263,"2",14,1,2,"","Gliwice","Rolników",0
10573,"03/tech",17,1,5,"","Katowice","Uniczowska",0
6022,"1",44,1,2,"","Smolnica","Wiejska",0
1741,"1t",49,2,2,"","Zabrze","Tarnopolska",0
4734,"2t",49,2,2,"","Zabrze","Tarnopolska",0
5734,"1",60,1,1,"","Tarnowskie Góry","Strzybnicka",0
12277,"01",46,1_3,2,"","Tychy","Generała Sikorskiego",0
5705,"1",14,1,2,"","Gliwice","Pszczyńska",0
2391,"2",43,1,2_3,"","Sosnowiec","Wileńska",0
2805,"1",34,1,2_3,"","Strzyżowice","1 Maja",0
7116,"1",17,1,2,"","Katowice","Nałkowskiej",0
3569,"2",60,1,2_3_4,"","Tarnowskie Góry","Bytomska",0
837,"1",,,6,"","<Żadna>","",0
3029,"2",5,1,2_3,"","Bytom","Krzyżowa",0
5508,"2",14,1,2,"","Gliwice","Robotnicza",0
2939,"1",14,1,2_3,"","Gliwice","Strzelnicza",0
5978,"2",58,1,1,"","Wielowieś","Szkolna",0
11637,"02t",5,2,2,"","Bytom","Piłkarska",0
6657,"1",,,6,"","<Żadna>","",0
10879,"01",15,1,2,"","Imielin","Kordeckiego",0
6144,"02",46,1,1,"","Tychy","Mąkołowska",0
2403,"2",43,1,2_3,"","Sosnowiec","Lenartowicza",0
317,"2",34,1,2,"","Brzękowice Górne","Brzękowice Górne",0
6913,"2",,,6,"","<Żadna>","",0
585,"2",43,1,2_3,"","Sosnowiec","Wojska Polskiego",0
4014,"2",23,1,1,"","Mierzęcice","Wolności",0
1970,"1",28,1,2_3,"","Ornontowice","Orzeska",0
745,"1",17,1,2,"","Katowice","Radosna",0
3536,"2",41,1,2_3,"","Siemianowice Śląskie","Powstańców",0
4944,"1",42,1,1_3,"","Siewierz","Graniczna",0
1393,"2",17,1,1,"","Katowice","Pszczyńska",0
5746,"1",59,1,2,"","Krupski Młyn","Tarnogórska",0
552,"1",31,1,2_3,"","Piekary Śląskie","Przyjaźni",0
3733,"1",60,1,2_3,"","Tarnowskie Góry","Śniadeckiego",0
11249,"01",14,1,2,"","Gliwice","Wybrzeże Armii Krajowej",0
7829,"2",32,1,1_3,"","Stanica","Gliwicka",0
1121,"1",38,1,2_3,"","Ruda Śląska","Piotra Skargi",0
100,"2",49,1,2_3,"","Zabrze","Aleja Korfantego",0
11269,"02t",17,2,2_3,"","Katowice","Sosnowiecka",0
11328,"01t",43,2,2_3,"","Sosnowiec","3 Maja",0
10087,"1",6,1,1,"","Będzin","Kijowska",0
2193,"2",17,1,2_3,"","Katowice","Panewnicka",0
11163,"02",13,1,1,"","Chudów","Szkolna",0
3093,"1",7,1,2_3,"","Chełm Śląski","Chełmska",0
128,"1",8,1,2_3,"","Chorzów","Armii Krajowej",0
2662,"1",12,1,2_3,"","Dąbrowa Górnicza","Relaksowa",0
1348,"2",38,1,2_3,"","Ruda Śląska","Księdza Ludwika Tunkla",0
1129,"1",38,1,2_3_4,"","Ruda Śląska","1 Maja",0
7966,"2",56,1,2,"","Tworóg","Powstańców Śląskich",0
7133,"2",17,1,1_3,"","Katowice","Aleja Roździeńskiego",0
8603,"1",60,1,2,"","Tarnowskie Góry","Andersa",0
3220,"2",26,1,2_3,"","Mysłowice","Jana Dzierżona",0
11732,"01t",49,2,1,"","Zabrze","Bytomska",0
10654,"02",17,1,2_3,"","Katowice","Załęska",0
3051,"2",6,1,1_3,"","Będzin","Energetyczna",0
11151,"2",43,1,2_3,"","Sosnowiec","Kosynierów",0
11295,"02t",12,2,2_3,"","Dąbrowa Górnicza","aleja Piłsudskiego",0
10300,"01",15,1,2,"","Imielin","Liliowa",0
1379,"2",12,1,2,"","Dąbrowa Górnicza","Jasna",0
3898,"2",30,1,2_3,"","Ożarowice","Dworcowa",0
14,"1",43,1,2,"","Sosnowiec","Chemiczna",0
5289,"1",38,1,2_3,"","Ruda Śląska","Radoszowska",0
5557,"2",6,1,2_3,"","Będzin","Józefa Cieszkowskiego",0
1756,"1",43,1,2_3,"","Sosnowiec","Orląt Lwowskich",0
2350,"1",42,1,2,"","Podwarpie","Marcinków",0
9954,"01",24,1,2,"","Mikołów","św. Wojciecha",0
1226,"2",17,1,2,"","Katowice","Leśnego Potoku",0
1218,"2",26,1,2_3,"","Mysłowice","Mieczysława Jastruna",0
5279,"2",17,1,2_3,"","Katowice","Kijowska",0
4062,"2",6,1,1_3,"","Będzin","Adama Asnyka",0
7170,"1A",17,1,2_3_4,"","Katowice","Sądowa",0
3166,"2",12,1,2,"","Dąbrowa Górnicza","Ujejska",0
5015,"1",42,1,2,"","Siewierz","Młyńska",0
11479,"02t",43,2,2_3,"","Sosnowiec","Rydza Śmigłego",0
374,"1",38,1,2_3,"","Ruda Śląska","Górnośląska",0
2056,"1",43,1,2_3,"","Sosnowiec","Naftowa",0
6781,"20",83,1,1,"","Bojszowy","Bojszowska",0
7370,"2",41,1,1,"","Siemianowice Śląskie","Fabryczna",0
998,"1",,,6,"","<Żadna>","",0
6090,"3",43,1,2,"","Sosnowiec","Inwestycyjna",0
8194,"2",49,1,2_3,"","Zabrze","Goduli",0
143,"2",8,1,2_3,"","Chorzów","Batorego",0
7339,"1",,,6,"","<Żadna>","",0
1771,"1",26,1,2,"","Mysłowice","Józefa Wybickiego",0
3867,"3",30,1,2,"","Ożarowice","Tarnogórska",0
4917,"1",24,1,2_3,"","Mikołów","Gliwicka",0
3704,"1",18,1,2_3,"","Knurów","Dworcowa",0
