nr_eksperymentu,algorytm,nr_iteracji,HV,liczba_rozwiazan_pareto
0,ACO,0,0.03285921288816552,1
0,ACO,1,0.0,0
0,ACO,2,0.0,0
0,ACO,3,0.0,0
0,ACO,4,0.0,0
0,ACO,5,0.1897542751003141,1
0,ACO,6,0.2306012462345065,1
0,ACO,7,0.7169384791594499,1
0,ACO,8,0.0006000000000000017,1
0,ACO,9,0.20624620260637652,1
0,GEN,0,1.398645740922347,3
0,GEN,1,1.423800588235232,4
0,GEN,2,1.3733615427386006,1
0,GEN,3,1.423832386386348,4
0,GEN,4,1.4032107909049691,4
0,GEN,5,1.3733615427386006,1
0,GEN,6,1.398645740922347,3
0,GEN,7,0.4252718360640311,1
0,GEN,8,1.299731801781597,1
0,GEN,9,1.299731801781597,1
0,PSO,0,0.0,0
0,PSO,1,0.0,0
0,PSO,2,0.0,0
0,PSO,3,0.0,0
0,PSO,4,0.2210360352279539,2
0,PSO,5,0.6094114012880782,3
0,PSO,6,0.27048354950607056,1
0,PSO,7,0.0,0
0,PSO,8,0.9836464520375484,2
0,PSO,9,1.3193760814826452,3
1,ACO,0,0.06050000000000008,1
1,ACO,1,0.06050000000000008,1
1,ACO,2,0.06050000000000008,1
1,ACO,3,0.06050000000000008,1
1,ACO,4,0.06050000000000008,1
1,ACO,5,0.06050000000000008,1
1,ACO,6,0.06050000000000008,1
1,ACO,7,0.06050000000000008,1
1,ACO,8,0.06050000000000008,1
1,ACO,9,0.06050000000000008,1
1,GEN,0,0.06050000000000008,1
1,GEN,1,0.06050000000000008,1
1,GEN,2,0.06050000000000008,1
1,GEN,3,0.06050000000000008,1
1,GEN,4,0.06050000000000008,1
1,GEN,5,0.03630000000000004,1
1,GEN,6,0.06050000000000008,1
1,GEN,7,0.06050000000000008,1
1,GEN,8,0.06050000000000008,1
1,GEN,9,0.06050000000000008,1
1,PSO,0,0.06050000000000008,1
1,PSO,1,0.18810000000000024,2
1,PSO,2,0.06050000000000008,1
1,PSO,3,0.06050000000000008,1
1,PSO,4,0.20557203579418368,3
1,PSO,5,0.06050000000000008,1
1,PSO,6,0.06050000000000008,1
1,PSO,7,0.18810000000000024,2
1,PSO,8,0.08163870246085023,2
1,PSO,9,0.06050000000000008,1
2,ACO,0,0.2566949928085491,2
2,ACO,1,0.0,0
2,ACO,2,0.0005000000000000014,1
2,ACO,3,0.0,0
2,ACO,4,0.0,0
2,ACO,5,0.0,0
2,ACO,6,0.0,0
2,ACO,7,0.0,0
2,ACO,8,0.0002109642164639528,1
2,ACO,9,0.0,0
2,GEN,0,1.2534790359304313,3
2,GEN,1,1.073785955211184,3
2,GEN,2,1.44135239597943,4
2,GEN,3,1.2105779402560315,2
2,GEN,4,1.2743902286958062,4
2,GEN,5,1.2700809145533003,5
2,GEN,6,1.275530508453468,5
2,GEN,7,1.419607934226964,2
2,GEN,8,1.2549154739779331,3
2,GEN,9,1.2729537906483044,4
2,PSO,0,0.8676776862081258,1
2,PSO,1,0.0,0
2,PSO,2,0.10427465550011886,1
2,PSO,3,0.0,0
2,PSO,4,0.1255545421102247,1
2,PSO,5,0.0,0
2,PSO,6,0.0,0
2,PSO,7,0.0,0
2,PSO,8,0.0,0
2,PSO,9,0.0,0
3,ACO,0,1.2573916666666674,2
3,ACO,1,1.2422666666666673,1
3,ACO,2,1.2145375000000003,1
3,ACO,3,1.2422666666666673,1
3,ACO,4,1.2422666666666673,1
3,ACO,5,0.0012250000000000034,2
3,ACO,6,1.2422666666666673,1
3,ACO,7,1.2573916666666674,2
3,ACO,8,1.2422666666666673,1
3,ACO,9,1.2422666666666673,1
3,GEN,0,1.4641000000000006,1
3,GEN,1,1.4641000000000006,1
3,GEN,2,1.4641000000000006,1
3,GEN,3,1.4641000000000006,1
3,GEN,4,1.325454166666667,1
3,GEN,5,1.4641000000000006,1
3,GEN,6,1.4641000000000006,1
3,GEN,7,1.2447875000000002,5
3,GEN,8,1.2447875000000002,3
3,GEN,9,1.325454166666667,1
3,PSO,0,1.2876416666666672,3
3,PSO,1,1.2447875000000002,4
3,PSO,2,1.219579166666667,2
3,PSO,3,1.2573916666666674,2
3,PSO,4,1.2447875000000002,2
3,PSO,5,1.2876416666666672,2
3,PSO,6,1.2447875000000002,6
3,PSO,7,1.2573916666666674,3
3,PSO,8,1.2750375000000003,3
3,PSO,9,1.2750375000000003,4
4,ACO,0,1.2321000000000009,1
4,ACO,1,1.2403727272727278,2
4,ACO,2,1.2886063070900398,3
4,ACO,3,0.1322874728142672,3
4,ACO,4,1.2403727272727278,2
4,ACO,5,1.2321000000000009,1
4,ACO,6,1.2403727272727278,2
4,ACO,7,0.3640073510221838,1
4,ACO,8,1.2403727272727278,2
4,ACO,9,1.2403727272727278,2
4,GEN,0,0.8016119617224884,3
4,GEN,1,0.4727407133536323,2
4,GEN,2,0.4727407133536323,2
4,GEN,3,1.2321000000000009,1
4,GEN,4,0.8016119617224884,3
4,GEN,5,1.2321000000000009,1
4,GEN,6,0.8016119617224884,3
4,GEN,7,1.2321000000000009,1
4,GEN,8,1.2321000000000009,1
4,GEN,9,0.4727407133536323,2
4,PSO,0,1.2403727272727278,2
4,PSO,1,1.2321000000000009,1
4,PSO,2,1.2321000000000009,1
4,PSO,3,1.2403727272727278,2
4,PSO,4,1.2321000000000009,1
4,PSO,5,1.2321000000000009,1
4,PSO,6,0.4727407133536323,2
4,PSO,7,1.2321000000000009,1
4,PSO,8,1.2321000000000009,1
4,PSO,9,1.2321000000000009,1
