route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
10,0,10,,,900,ff0000,ffffff
100,0,100,,,700,0000ff,ffffff
106,0,106,,,700,0000ff,ffffff
107,0,107,,,700,0000ff,ffffff
108,0,108,,,700,0000ff,ffffff
11,0,11,,,900,ff0000,ffffff
110,0,110,,,700,0000ff,ffffff
111,0,111,,,700,0000ff,ffffff
112,0,112,,,700,0000ff,ffffff
113,0,113,,,700,0000ff,ffffff
115,0,115,,,700,0000ff,ffffff
116,0,116,,,700,0000ff,ffffff
117,0,117,,,700,0000ff,ffffff
118,0,118,,,700,0000ff,ffffff
12,0,12,,,900,ff0000,ffffff
120,0,120,,,700,0000ff,ffffff
122,0,122,,,700,0000ff,ffffff
123,0,123,,,700,0000ff,ffffff
124,0,124,,,700,0000ff,ffffff
126,0,126,,,700,0000ff,ffffff
127,0,127,,,700,0000ff,ffffff
130,0,130,,,700,0000ff,ffffff
131,0,131,,,700,0000ff,ffffff
132,0,132,,,700,0000ff,ffffff
136,0,136,,,700,0000ff,ffffff
138,0,138,,,700,0000ff,ffffff
143,0,143,,,700,0000ff,ffffff
148,0,148,,,700,0000ff,ffffff
149,0,149,,,700,0000ff,ffffff
154,0,154,,,700,0000ff,ffffff
155,0,155,,,700,0000ff,ffffff
156,0,156,,,700,0000ff,ffffff
157,0,157,,,700,0000ff,ffffff
158,0,158,,,700,0000ff,ffffff
162,0,162,,,700,0000ff,ffffff
166,0,166,,,700,0000ff,ffffff
167,0,167,,,700,0000ff,ffffff
168,0,168,,,700,0000ff,ffffff
169,0,169,,,700,0000ff,ffffff
171,0,171,,,700,0000ff,ffffff
174,0,174,,,700,0000ff,ffffff
175,0,175,,,700,0000ff,ffffff
176,0,176,,,700,0000ff,ffffff
178,0,178,,,700,0000ff,ffffff
179,0,179,,,700,0000ff,ffffff
183,0,183,,,700,0000ff,ffffff
184,0,184,,,700,0000ff,ffffff
186,0,186,,,700,0000ff,ffffff
189,0,189,,,700,0000ff,ffffff
195,0,195,,,700,0000ff,ffffff
199,0,199,,,700,0000ff,ffffff
2,0,2,,,900,ff0000,ffffff
200,0,200,,,700,0000ff,ffffff
205,0,205,,,700,0000ff,ffffff
207,0,207,,,700,0000ff,ffffff
208,0,208,,,700,0000ff,ffffff
210,0,210,,,700,0000ff,ffffff
212,0,212,,,700,0000ff,ffffff
213,0,213,,,700,0000ff,ffffff
227,0,227,,,700,0000ff,ffffff
232,0,232,,,700,0000ff,ffffff
255,0,255,,,700,0000ff,ffffff
256,0,256,,,700,0000ff,ffffff
258,0,258,,,700,0000ff,ffffff
262,0,262,,,700,0000ff,ffffff
267,0,267,,,700,0000ff,ffffff
268,0,268,,,700,0000ff,ffffff
269,0,269,,,700,0000ff,ffffff
283,0,283,,,700,0000ff,ffffff
289,0,289,,,700,0000ff,ffffff
295,0,295,,,700,0000ff,ffffff
3,0,3,,,900,ff0000,ffffff
307,0,307,,,700,0000ff,ffffff
4,0,4,,,900,ff0000,ffffff
401,0,N1,,,700,0000ff,ffffff
402,0,N2,,,700,0000ff,ffffff
403,0,N3,,,700,0000ff,ffffff
404,0,N4,,,700,0000ff,ffffff
405,0,N5,,,700,0000ff,ffffff
406,0,N6,,,700,0000ff,ffffff
408,0,N8,,,700,0000ff,ffffff
409,0,N9,,,700,0000ff,ffffff
414,0,N14,,,700,0000ff,ffffff
416,0,N16,,,700,0000ff,ffffff
456,0,N56,,,700,0000ff,ffffff
478,0,N78,,,700,0000ff,ffffff
489,0,N89,,,700,0000ff,ffffff
5,0,5,,,900,ff0000,ffffff
512,0,512,,,700,0000ff,ffffff
6,0,6,,,900,ff0000,ffffff
606,0,606,,,700,0000ff,ffffff
622,0,622,,,700,0000ff,ffffff
658,0,658,,,700,0000ff,ffffff
7,0,7,,,900,ff0000,ffffff
8,0,8,,,900,ff0000,ffffff
808,0,T8,,,700,0000ff,ffffff
9,0,9,,,900,ff0000,ffffff
911,0,911,,,700,0000ff,ffffff
