route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible
106,120260602,106202606020750_102_106-01,Muzeum II Wojny Światowej,,1,106_640713,1
106,120260602,106202606020905_101_106-01,Muzeum Westerplatte – Terminal Promowy,,0,106_640744,1
106,120260602,106202606021539_102_106-01,Muzeum II Wojny Światowej,,1,106_640713,1
106,120260602,106202606022115_112_106-01,Dworzec Główny,,1,106_640645,1
108,120260602,108202606020817_11_108-01,Chełm Więckowskiego,,0,108_640619,1
108,120260602,108202606020840_12_108-01,Plac Solidarności,,1,108_640546,1
108,120260602,108202606021000_12_108-01,Plac Solidarności,,1,108_640546,1
108,120260602,108202606021057_11_108-01,Chełm Więckowskiego,,0,108_640619,1
108,120260602,108202606021509_12_108-01,Plac Solidarności,,1,108_640546,1
110,120260602,110202606020610_11_110-02,Port Lotniczy,,0,110_640578,1
110,120260602,110202606020729_11_110-02,Port Lotniczy,,0,110_640578,1
110,120260602,110202606021908_11_110-02,Port Lotniczy,,0,110_640578,1
110,120260602,110202606022023_11_110-02,Port Lotniczy,,0,110_640578,1
106,120260602,106202606021919_101_106-09,Muzeum Westerplatte – Terminal Promowy,,0,106_640744,1
110,120260602,110202606020630_11_110-03,Port Lotniczy,,0,110_640578,1
110,120260602,110202606021227_11_110-03,Port Lotniczy,,0,110_640578,1
110,120260602,110202606021347_11_110-03,Port Lotniczy,,0,110_640578,1
110,120260602,110202606022230_11_110-51,Port Lotniczy,,0,110_640578,1
108,120260602,108202606020702_11_108-11,Chełm Więckowskiego,,0,108_640619,1
108,120260602,108202606020725_22_108-11,Dworzec Główny,,1,108_640756,1
106,120260602,106202606021123_102_106-02,Muzeum II Wojny Światowej,,1,106_640713,1
110,120260602,110202606020927_11_110-16,Port Lotniczy,,0,110_640578,1
100,120260602,100202606020906_11_100-02,Targ Rybny,,0,100_640749,1
100,120260602,100202606021315_22_100-02,Dworzec Główny,,1,100_640753,1
100,120260602,100202606021406_11_100-02,Targ Rybny,,0,100_640749,1
100,120260602,100202606021436_11_100-02,Targ Rybny,,0,100_640749,1
100,120260602,100202606021544_22_100-02,Dworzec Główny,,1,100_640753,1
108,120260602,108202606020857_11_108-02,Chełm Więckowskiego,,0,108_640619,1
108,120260602,108202606021040_12_108-02,Plac Solidarności,,1,108_640546,1
108,120260602,108202606021320_12_108-02,Plac Solidarności,,1,108_640546,1
108,120260602,108202606021747_11_108-02,Chełm Więckowskiego,,0,108_640619,1
108,120260602,108202606021904_12_108-02,Plac Solidarności,,1,108_640546,1
108,120260602,108202606021954_12_108-02,Plac Solidarności,,1,108_640546,1
108,120260602,108202606022054_12_108-02,Plac Solidarności,,1,108_640546,1
108,120260602,108202606022154_12_108-02,Plac Solidarności,,1,108_640546,1
110,120260602,110202606021728_11_110-34,Port Lotniczy,,0,110_640578,1
100,120260602,100202606021045_22_100-01,Dworzec Główny,,1,100_640753,1
100,120260602,100202606021106_11_100-01,Targ Rybny,,0,100_640749,1
100,120260602,100202606021206_11_100-01,Targ Rybny,,0,100_640749,1
100,120260602,100202606021215_22_100-01,Dworzec Główny,,1,100_640753,1
100,120260602,100202606021244_22_100-01,Dworzec Główny,,1,100_640753,1
100,120260602,100202606021736_11_100-01,Targ Rybny,,0,100_640749,1
100,120260602,100202606021915_22_100-01,Dworzec Główny,,1,100_640753,1
110,120260602,110202606021424_11_110-01,Port Lotniczy,,0,110_640578,1
110,120260602,110202606021848_11_110-01,Port Lotniczy,,0,110_640578,1
110,120260602,110202606022008_11_110-01,Port Lotniczy,,0,110_640578,1
108,120260602,108202606021749_22_108-34,Dworzec Główny,,1,108_640756,1
106,120260602,106202606020614_111_106-05,Muzeum Westerplatte – Terminal Promowy,,0,106_640703,1
106,120260602,106202606021701_112_106-05,Dworzec Główny,,1,106_640645,1
120,120260602,120202606020837_11_120-05,Port Lotniczy,,0,120_640293,1
120,120260602,120202606021312_21_120-05,Port Lotniczy,,0,120_640872,1
120,120260602,120202606021421_142_120-05,Łostowice Świętokrzyska,,1,120_640528,1
120,120260602,120202606021924_142_120-05,Łostowice Świętokrzyska,,1,120_640528,1
120,120260602,120202606020606_142_120-11,Łostowice Świętokrzyska,,1,120_640528,1
115,120260602,115202606020555_111_115-04,Wrzeszcz PKP,,0,115_640675,1
115,120260602,115202606020932_12_115-04,Jaworzniaków,,1,115_640691,1
111,120260602,111202606021416_21_111-31,Górki Zachodnie,,0,111_640298,1
115,120260602,115202606022035_101_115-04,Wrzeszcz PKP,,0,115_640412,1
