nr_eksperymentu,algorytm,nr_iteracji,HV,liczba_rozwiazan_pareto
0,ACO,0,0.26406369327073564,1
0,ACO,1,0.26406369327073564,1
0,ACO,2,0.26406369327073564,1
0,ACO,3,0.26406369327073564,1
0,ACO,4,0.26406369327073564,1
0,ACO,5,0.26406369327073564,1
0,ACO,6,0.26406369327073564,1
0,ACO,7,0.26406369327073564,1
0,ACO,8,0.26406369327073564,1
0,ACO,9,0.26406369327073564,1
0,GEN,0,0.26406369327073564,1
0,GEN,1,0.26406369327073564,1
0,GEN,2,0.26406369327073564,1
0,GEN,3,0.26406369327073564,1
0,GEN,4,0.26406369327073564,1
0,GEN,5,0.26406369327073564,1
0,GEN,6,0.26406369327073564,1
0,GEN,7,0.26406369327073564,1
0,GEN,8,0.26406369327073564,1
0,GEN,9,0.26406369327073564,1
0,PSO,0,0.26406369327073564,1
0,PSO,1,0.23374562856063608,5
0,PSO,2,0.26406369327073564,1
0,PSO,3,0.26406369327073564,1
0,PSO,4,0.26406369327073564,1
0,PSO,5,0.238303967097605,4
0,PSO,6,0.26406369327073564,1
0,PSO,7,0.26832087775696334,2
0,PSO,8,0.29534747720036714,2
0,PSO,9,0.26406369327073564,1
1,ACO,0,0.8798777777777782,2
1,ACO,1,0.8798777777777782,2
1,ACO,2,0.8647774480857049,2
1,ACO,3,0.8798777777777782,2
1,ACO,4,0.8698041097157663,2
1,ACO,5,0.8647774480857049,2
1,ACO,6,0.8593968253968258,2
1,ACO,7,0.8533540777230436,2
1,ACO,8,0.8798777777777782,2
1,ACO,9,0.8798777777777782,2
1,GEN,0,1.2756250849927153,6
1,GEN,1,1.277244101775404,5
1,GEN,2,1.2756250849927153,6
1,GEN,3,1.2756250849927153,4
1,GEN,4,1.2756250849927153,4
1,GEN,5,1.277244101775404,5
1,GEN,6,1.2756250849927153,4
1,GEN,7,1.2756250849927153,4
1,GEN,8,1.2756250849927153,4
1,GEN,9,1.2756250849927153,6
1,PSO,0,0.9071857142857147,2
1,PSO,1,0.9071857142857147,2
1,PSO,2,0.9071857142857147,2
1,PSO,3,0.9071857142857147,2
1,PSO,4,0.9071857142857147,2
1,PSO,5,0.9071857142857147,2
1,PSO,6,0.9071857142857147,2
1,PSO,7,0.9071857142857147,2
1,PSO,8,0.9071857142857147,2
1,PSO,9,0.9071857142857147,2
2,ACO,0,0.3949792795084687,2
2,ACO,1,0.4597384945689465,2
2,ACO,2,0.49112970929022437,4
2,ACO,3,0.5095077615115986,2
2,ACO,4,0.4597384945689465,2
2,ACO,5,0.5556339207659755,4
2,ACO,6,0.3836351095076207,2
2,ACO,7,0.5457381646199035,2
2,ACO,8,0.3836351095076207,2
2,ACO,9,0.5495129258308474,3
2,GEN,0,0.36274451536807073,6
2,GEN,1,0.37103453826406735,4
2,GEN,2,0.3842537639630891,3
2,GEN,3,0.3575912578921809,4
2,GEN,4,0.3631926247138002,4
2,GEN,5,0.36184829667661156,3
2,GEN,6,0.37842834246860496,3
2,GEN,7,0.3941121695691392,3
2,GEN,8,0.36252046069520594,5
2,GEN,9,0.38470187330881866,4
2,PSO,0,0.41506275199087267,5
2,PSO,1,0.41309635976780246,3
2,PSO,2,0.42115700486443586,4
2,PSO,3,0.4325448283571161,5
2,PSO,4,0.5549591957877537,5
2,PSO,5,0.434066371408528,4
2,PSO,6,0.37049944571644444,10
2,PSO,7,0.4470316974644805,7
2,PSO,8,0.4485396786851379,5
2,PSO,9,0.41413938034336306,5
3,ACO,0,0.5501076123407111,2
3,ACO,1,0.5246712188841864,2
3,ACO,2,0.5215982793311595,1
3,ACO,3,0.6553361900650394,2
3,ACO,4,0.5339999167418304,2
3,ACO,5,0.5339999167418304,2
3,ACO,6,0.5829332654933433,4
3,ACO,7,0.5370728562948575,3
3,ACO,8,0.5339999167418304,2
3,ACO,9,0.5584927102846968,2
3,GEN,0,0.6604557349203782,2
3,GEN,1,0.6604557349203782,2
3,GEN,2,0.5536966349823078,1
3,GEN,3,0.6604557349203782,2
3,GEN,4,0.5536966349823078,1
3,GEN,5,0.6604557349203782,2
3,GEN,6,0.5426119621946239,6
3,GEN,7,0.5536966349823078,1
3,GEN,8,0.5536966349823078,1
3,GEN,9,0.6465605220081668,3
3,PSO,0,0.5619643932560885,2
3,PSO,1,0.541842301831423,2
3,PSO,2,0.5536966349823078,1
3,PSO,3,0.5660982723929786,2
3,PSO,4,0.6353508823053267,3
3,PSO,5,0.5459761809683132,2
3,PSO,6,0.5619643932560885,2
3,PSO,7,0.5536966349823078,1
3,PSO,8,0.5619643932560885,2
3,PSO,9,0.5881093038434955,2
