nr_eksperymentu,algorytm,srednie_HV,mediana_HV,odchylenie_HV,min_HV,max_HV,srednia_liczba_rozwiazan_pareto
0,ACO,0.26406369327073564,0.26406369327073564,0.0,0.26406369327073564,0.26406369327073564,1.0
0,GEN,0.26406369327073564,0.26406369327073564,0.0,0.26406369327073564,0.26406369327073564,1.0
0,PSO,0.26201001102399857,0.26406369327073564,0.016790775209688035,0.23374562856063608,0.29534747720036714,1.9
1,ACO,0.8711498797895937,0.8748409437467722,0.010103534826677852,0.8533540777230436,0.8798777777777782,2.0
1,GEN,1.275948888349253,1.2756250849927153,0.0006826374137778655,1.2756250849927153,1.277244101775404,4.8
1,PSO,0.9071857142857148,0.9071857142857147,0.0,0.9071857142857147,0.9071857142857147,2.0
2,ACO,0.4733248969680153,0.47543410192958546,0.06834960447403016,0.3836351095076207,0.5556339207659755,2.5
2,GEN,0.37204278429195886,0.3671135814889338,0.012500854229932955,0.3575912578921809,0.3941121695691392,3.9
2,PSO,0.43510967143859347,0.426850916610776,0.04759721202384256,0.37049944571644444,0.5549591957877537,5.3
3,ACO,0.5532211882919486,0.535536386518344,0.0401829344770597,0.5215982793311595,0.6553361900650394,2.2
3,GEN,0.6045781963813535,0.6001285784952373,0.0562210520659898,0.5426119621946239,0.6604557349203782,2.1
3,PSO,0.5670663391074419,0.5619643932560885,0.027127592996028054,0.541842301831423,0.6353508823053267,1.9
