stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,,"BOTANICZNA",,51.916210,15.499600,0,,0,,,0
2,,"Botaniczna",,51.917010,15.499990,0,,0,,,0
3,,"Ogród Botaniczny",,51.921690,15.501200,0,,0,,,0
4,,"Głowackiego",,51.927940,15.502330,0,,0,,,0
5,,"Ogrodowa",,51.931410,15.499990,0,,0,,,0
6,,"1 Maja",,51.935880,15.496040,0,,0,,,0
7,,"Dąbrówki",,51.937980,15.494230,0,,0,,,0
9,,"Biblioteka Wojewódzka",,51.939550,15.501000,0,,0,,,0
10,,"Centrum",,51.942810,15.507430,0,,0,,,0
11,,"Dworzec Główny",,51.947160,15.516600,0,,0,,,0
12,,"Staszica",,51.946230,15.519650,0,,0,,,0
13,,"Szpital (Waryńskiego)",,51.941610,15.523180,0,,0,,,0
14,,"Lwowska",,51.937060,15.519910,0,,0,,,0
15,,"Wąska",,51.934950,15.517270,0,,0,,,0
16,,"Skrajna",,51.933600,15.521710,0,,0,,,0
17,,"Stadion żużlowy",,51.930530,15.528050,0,,0,,,0
18,,"Cmentarz Komunalny",,51.927860,15.535180,0,,0,,,0
19,,"WROCŁAWSKA",,51.926070,15.540070,0,,0,,,0
21,,"Cmentarz Komunalny",,51.927570,15.536280,0,,0,,,0
22,,"Stadion żużlowy",,51.930380,15.528560,0,,0,,,0
23,,"Skrajna",,51.933720,15.521650,0,,0,,,0
24,,"Wąska",,51.934750,15.518270,0,,0,,,0
25,,"Lwowska",,51.937940,15.521710,0,,0,,,0
26,,"Szpital (Waryńskiego)",,51.941490,15.523430,0,,0,,,0
27,,"Staszica",,51.945220,15.520300,0,,0,,,0
28,,"Dworzec Główny",,51.947020,15.516320,0,,0,,,0
29,,"Centrum",,51.943240,15.508140,0,,0,,,0
30,,"Elżbietanki",,51.940240,15.502990,0,,0,,,0
31,,"Dąbrówki",,51.938080,15.493750,0,,0,,,0
32,,"1 Maja",,51.935200,15.496660,0,,0,,,0
33,,"Ogrodowa",,51.932180,15.499270,0,,0,,,0
34,,"Głowackiego",,51.928570,15.501640,0,,0,,,0
35,,"Ogród Botaniczny",,51.922240,15.501020,0,,0,,,0
36,,"Botaniczna",,51.917930,15.500110,0,,0,,,0
37,,"ZAJEZDNIA  MZK",,51.950890,15.484160,0,,0,,,0
38,,"Jędrzychów",,51.896300,15.515950,0,,0,,,0
39,,"Domeyki",,51.901630,15.512640,0,,0,,,0
40,,"Kąpielowa",,51.908210,15.511540,0,,0,,,0
41,,"Zawiszy Czarnego",,51.911670,15.509450,0,,0,,,0
42,,"Jałowcowa",,51.917560,15.509050,0,,0,,,0
43,,"Przyrodnicza",,51.920510,15.508110,0,,0,,,0
44,,"Kożuchowska PSP",,51.926470,15.507740,0,,0,,,0
45,,"Sienkiewicza",,51.931910,15.509010,0,,0,,,0
46,,"Palmiarnia",,51.936540,15.513200,0,,0,,,0
47,,"Urząd Miasta",,51.940510,15.512230,0,,0,,,0
48,,"Chrobrego",,51.943370,15.513470,0,,0,,,0
49,,"Dolina Zielona",,51.949700,15.518720,0,,0,,,0
