route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,7069_RO,7069_10,CHYNÓW,,1,1/10,518409,0,0
10,7069_RO,7069_100,DRZONKÓW,,1,10/1,518583,0,0
30,7069_RO,7069_1001,ŁUGOWO,,0,30/21,518373,0,0
30,7069_RO,7069_1002,DWORZEC GŁÓWNY,,1,30/21,518377,0,0
10,7069_RO,7069_1004,WYCZÓŁKOWSKIEGO,,0,10/2,518581,0,0
30,7069_RO,7069_1005,BARCIKOWICE,,0,25/21,518378,0,0
30,7069_RO,7069_1006,DWORZEC GŁÓWNY,,1,25/21,518372,0,0
10,7069_RO,7069_1008,DRZONKÓW,,1,10/2,518583,0,0
20,7069_RO,7069_1009,DWORZEC GŁÓWNY,,1,1/3,518448,0,0
10,7069_RO,7069_101,WYCZÓŁKOWSKIEGO,,0,10/1,518581,0,0
22,7069_RO,7069_1010,DWORZEC GŁÓWNY,,1,37/1,518423,0,0
21,7069_RO,7069_1011,STOŻNE,,0,21/1,518428,0,0
21,7069_RO,7069_1012,DWORZEC GŁÓWNY PRZEZ JANY,,1,21/1,518431,0,0
21,7069_RO,7069_1013,JANY,,0,21/1,518433,0,0
21,7069_RO,7069_1014,DWORZEC GŁÓWNY,,1,21/1,518427,0,0
22,7069_RO,7069_1017,CHYNÓW,,0,37/1,518422,0,0
20,7069_RO,7069_1019,PRZYLEP LOTNISKO,,0,22/1,518444,0,0
10,7069_RO,7069_102,DRZONKÓW,,1,10/1,518583,0,0
20,7069_RO,7069_1020,DWORZEC GŁÓWNY,,1,22/1,518449,0,0
20,7069_RO,7069_1021,PRZYLEP LOTNISKO,,0,20/21,518444,0,0
10,7069_RO,7069_1023,WYCZÓŁKOWSKIEGO,,0,10/2,518581,0,0
2,7069_RO,7069_1024,BARCIKOWICE,,0,55P/20,518438,0,0
2,7069_RO,7069_1025,PRZYLEP,,1,55P/20,518434,0,0
20,7069_RO,7069_1027,PRZYLEP,,0,25/1,518445,0,0
20,7069_RO,7069_1028,DWORZEC GŁÓWNY,,1,25/1,518448,0,0
20,7069_RO,7069_1029,PRZYLEP LOTNISKO,,0,27/21,518444,0,0
10,7069_RO,7069_103,WYCZÓŁKOWSKIEGO,,0,10/1,518581,0,0
20,7069_RO,7069_1030,DWORZEC GŁÓWNY,,1,27/21,518449,0,0
25,7069_RO,7069_1031,DROSZKÓW PRZEZ ZATORZE,,0,25/1,518456,0,0
25,7069_RO,7069_1032,DWORZEC GŁÓWNY,,1,25/1,518461,0,0
30,7069_RO,7069_1035,BARCIKOWICE,,0,25/1,518378,0,0
30,7069_RO,7069_1036,DWORZEC GŁÓWNY,,1,25/1,518372,0,0
25,7069_RO,7069_1039,DROSZKÓW PRZEZ PARK TECH.,,0,25/10,518469,0,0
25,7069_RO,7069_1040,DWORZEC GŁÓWNY,,1,25/10,518461,0,0
30,7069_RO,7069_1043,ŁUGOWO,,0,22/1,518373,0,0
30,7069_RO,7069_1044,DWORZEC GŁÓWNY,,1,22/1,518377,0,0
25,7069_RO,7069_1049,DWORZEC GŁÓWNY,,1,30/20,518467,0,0
20,7069_RO,7069_1054,PRZYLEP LOTNISKO,,0,20/1,518444,0,0
20,7069_RO,7069_1055,DWORZEC GŁÓWNY,,1,20/1,518449,0,0
20,7069_RO,7069_1056,PRZYLEP,,0,20/1,518445,0,0
20,7069_RO,7069_1057,DWORZEC GŁÓWNY,,1,20/1,518448,0,0
20,7069_RO,7069_1058,PRZYLEP,,0,20/1,518445,0,0
20,7069_RO,7069_1059,DWORZEC GŁÓWNY,,1,20/1,518448,0,0
6,7069_RO,7069_106,OS. BRANIBORSKIE,,0,6/1,518284,0,0
20,7069_RO,7069_1060,PRZYLEP,,0,17/1,518445,0,0
20,7069_RO,7069_1061,DWORZEC GŁÓWNY,,1,17/1,518448,0,0
20,7069_RO,7069_1062,PRZYLEP,,0,17/1,518445,0,0
20,7069_RO,7069_1063,DWORZEC GŁÓWNY,,1,17/1,518448,0,0
101,7069_RO,7069_1064,LECHITÓW,,0,101/10,518341,0,0
101,7069_RO,7069_1065,LECHITÓW,,0,101/10,518341,0,0
21,7069_RO,7069_1067,JANY,,0,1/1,518433,0,0
101,7069_RO,7069_1068,LECHITÓW,,0,101/10,518341,0,0
1,7069_RO,7069_1069,CHYNÓW PRZEZ SŁUBICKĄ,,1,25/1,518400,0,0
1,7069_RO,7069_107,CHYNÓW,,1,1/1,518409,0,0
1,7069_RO,7069_1071,CHYNÓW PRZEZ SŁUBICKĄ,,1,1/2,518403,0,0
101,7069_RO,7069_1073,LECHITÓW,,0,101/10,518341,0,0
101,7069_RO,7069_1074,LECHITÓW,,0,101/10,518341,0,0
25,7069_RO,7069_1076,NOWY KISIELIN,,0,25/1,518468,0,0
25,7069_RO,7069_1077,DWORZEC GŁÓWNY,,1,25/1,518467,0,0
25,7069_RO,7069_1078,DROSZKÓW,,0,25/1,518459,0,0
25,7069_RO,7069_1079,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,25/1,518465,0,0
30,7069_RO,7069_1080,BARCIKOWICE,,0,25/1,518378,0,0
30,7069_RO,7069_1081,DWORZEC GŁÓWNY,,1,25/1,518372,0,0
30,7069_RO,7069_1082,ŁUGOWO,,0,25/1,518373,0,0
30,7069_RO,7069_1083,DWORZEC GŁÓWNY,,1,25/1,518377,0,0
10,7069_RO,7069_1084,DRZONKÓW,,1,10/2,518583,0,0
10,7069_RO,7069_1085,WYCZÓŁKOWSKIEGO,,0,10/2,518581,0,0
30,7069_RO,7069_1086,BARCIKOWICE,,0,25/20,518378,0,0
30,7069_RO,7069_1087,DWORZEC GŁÓWNY,,1,25/20,518372,0,0
10,7069_RO,7069_1089,DRZONKÓW,,1,10/2,518583,0,0
25,7069_RO,7069_1090,DROSZKÓW PRZEZ ZATORZE I PARK,,0,29/1,518457,0,0
25,7069_RO,7069_1091,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,29/1,518465,0,0
30,7069_RO,7069_1092,DRZONKÓW,,0,30/11,518374,0,0
30,7069_RO,7069_1093,DWORZEC GŁÓWNY,,1,30/11,518375,0,0
25,7069_RO,7069_1094,DROSZKÓW PRZEZ ZATORZE I PARK,,0,25/10,518457,0,0
25,7069_RO,7069_1095,DWORZEC GŁÓWNY,,1,25/10,518461,0,0
30,7069_RO,7069_1096,BARCIKOWICE,,0,25/10,518378,0,0
30,7069_RO,7069_1097,DWORZEC GŁÓWNY,,1,25/10,518372,0,0
21,7069_RO,7069_1098,JANY,,0,21/1,518433,0,0
1,7069_RO,7069_11,JĘDRZYCHÓW,,0,1/4,518406,0,0
22,7069_RO,7069_1100,CHYNÓW,,0,21/1,518422,0,0
22,7069_RO,7069_1101,DWORZEC GŁÓWNY,,1,22/20,518421,0,0
25,7069_RO,7069_1104,DROSZKÓW PRZEZ ZATORZE,,0,1/3,518456,0,0
25,7069_RO,7069_1105,DWORZEC GŁÓWNY,,1,1/3,518461,0,0
25,7069_RO,7069_1106,DROSZKÓW,,0,1/3,518459,0,0
25,7069_RO,7069_1107,DWORZEC GŁÓWNY,,1,1/3,518461,0,0
10,7069_RO,7069_1108,WYCZÓŁKOWSKIEGO,,0,10/2,518581,0,0
26,7069_RO,7069_1109,PKP NOWY KISIELIN,,0,26/1,518505,0,0
26,7069_RO,7069_1110,WYCZÓŁKOWSKIEGO,,1,26/1,518509,0,0
26,7069_RO,7069_1111,PKP NOWY KISIELIN,,0,26/1,518510,0,0
26,7069_RO,7069_1114,WYCZÓŁKOWSKIEGO,,1,26/1,518512,0,0
26,7069_RO,7069_1115,PKP NOWY KISIELIN,,0,26/1,518510,0,0
26,7069_RO,7069_1116,WYCZÓŁKOWSKIEGO -> ZAJEZDNIA CHEMICZNA,,1,26/1,518511,0,0
26,7069_RO,7069_1117,PKP NOWY KISIELIN,,0,5/20,518510,0,0
26,7069_RO,7069_1118,WYCZÓŁKOWSKIEGO,,1,5/20,518512,0,0
